step,episode,episode_reward,episode_length,epsilon,loss,mean_q,mean_target,mean_td_abs,beta
1000,0,-54.06360424028341,1000,0.9905,,,,,
2000,1,-60.65573770491892,1000,0.981,,,,,
3000,2,-56.22895622895708,1000,0.9715,,,,,
4000,3,-54.38596491228148,1000,0.962,,,,,
5000,4,-62.0253164556971,1000,0.9525,0.08445259183645248,-0.00110367382876575,0.01370328664779663,0.17814594507217407,0.41500000000000004
6000,0,-61.13074204947084,1000,0.9430000000000001,0.07471460103988647,0.18134428560733795,0.688274085521698,0.5910080671310425,0.41800000000000004
7000,1,-57.37704918032864,1000,0.9335,0.05448813736438751,-0.027701249346137047,0.2609612047672272,0.3526827394962311,0.42100000000000004
8000,2,-59.59595959596047,1000,0.924,0.059042882174253464,-0.01392434909939766,0.25364696979522705,0.3531108498573303,0.42400000000000004
9000,3,-54.38596491228147,1000,0.9145,0.09879037737846375,-0.042189694941043854,0.3572654724121094,0.44840848445892334,0.42700000000000005
10000,4,-65.18987341772232,1000,0.905,0.07710292935371399,-0.013886353000998497,0.2264699935913086,0.36473309993743896,0.43000000000000005
11000,0,-61.13074204947086,1000,0.8955,0.0413215234875679,-0.07219909131526947,0.19940783083438873,0.3797488212585449,0.43300000000000005
12000,1,-50.81967213114829,1000,0.886,0.05996014550328255,-0.05031413212418556,0.31661394238471985,0.4712078869342804,0.436
13000,2,-56.22895622895715,1000,0.8765000000000001,0.13891762495040894,-0.06153715029358864,0.5021898150444031,0.6623954772949219,0.439
14000,3,-57.89473684210604,1000,0.867,0.08519674837589264,-0.01943976804614067,0.6601354479789734,0.7604900598526001,0.442
15000,4,-65.1898734177222,1000,0.8575,0.06639404594898224,-0.1428641974925995,0.1548416167497635,0.34170639514923096,0.445
