step,episode,episode_reward,episode_length,epsilon,loss,mean_q,mean_target,mean_td_abs,beta
1000,0,-50.53003533568978,1000,0.9905,,,,,
2000,1,-60.65573770491887,1000,0.981,,,,,
3000,2,-59.59595959596036,1000,0.9715,,,,,
4000,3,-54.385964912281494,1000,0.962,,,,,
5000,4,-62.02531645569702,1000,0.9525,0.00188078498467803,-0.009440010413527489,-0.06425541639328003,0.054816409945487976,0.41500000000000004
6000,0,-61.13074204947083,1000,0.9430000000000001,0.10515007376670837,-0.04936797171831131,0.5661574006080627,0.6874427795410156,0.41800000000000004
6000,0,-61.13074204947083,1000,0.9430000000000001,0.10515007376670837,-0.04936797171831131,0.5661574006080627,0.6874427795410156,0.41800000000000004
7000,1,-57.377049180328655,1000,0.9335,0.06357035785913467,-0.09013013541698456,0.3008240759372711,0.452068567276001,0.42100000000000004
8000,2,-59.59595959596047,1000,0.924,0.0447743758559227,-0.061474066227674484,0.05553974583745003,0.3007447421550751,0.42400000000000004
9000,3,-61.403508771930674,1000,0.9145,0.040643561631441116,0.061775077134370804,0.2879454791545868,0.2586074471473694,0.42700000000000005
10000,4,-65.18987341772232,1000,0.905,0.0583420991897583,-0.10184559971094131,0.135725200176239,0.35114026069641113,0.43000000000000005
11000,0,-61.13074204947086,1000,0.8955,0.0864906907081604,-0.1280185729265213,0.2544867992401123,0.4856594502925873,0.43300000000000005
12000,1,-54.09836065573844,1000,0.886,0.0431792177259922,-0.15875276923179626,0.12061269581317902,0.35032278299331665,0.436
13000,2,-66.32996632996709,1000,0.8765000000000001,0.03739817067980766,-0.21742647886276245,0.06104651838541031,0.3566606640815735,0.439
14000,3,-64.91228070175522,1000,0.867,0.044631872326135635,-0.17430442571640015,0.18519914150238037,0.4475237727165222,0.442
15000,4,-65.18987341772231,1000,0.8575,0.05104546248912811,-0.24576251208782196,0.014787033200263977,0.3967021405696869,0.445
16000,0,-64.66431095406425,1000,0.848,0.08164390921592712,-0.28315648436546326,0.19065207242965698,0.5830902457237244,0.448
17000,1,-50.819672131148415,1000,0.8385,0.04856666922569275,-0.3231227695941925,0.20652106404304504,0.5993183851242065,0.451
18000,2,-56.228956228957095,1000,0.829,0.04834338650107384,-0.3285577595233917,0.043911129236221313,0.46845734119415283,0.454
19000,3,-54.38596491228157,1000,0.8195,0.05693863704800606,-0.3424072265625,-0.0970742255449295,0.3836805820465088,0.457
20000,4,-58.86075949367179,1000,0.81,0.1326562464237213,-0.252960741519928,0.6968941688537598,0.982988715171814,0.46
