step,episode,episode_reward,episode_length,epsilon,loss,mean_q,mean_target,mean_td_abs,beta
1000,0,-50.53003533568978,1000,0.9905,,,,,
2000,1,-60.65573770491887,1000,0.981,,,,,
3000,2,-59.59595959596036,1000,0.9715,,,,,
4000,3,-54.385964912281494,1000,0.962,,,,,
5000,4,-62.02531645569702,1000,0.9525,0.003604325233027339,-0.0014674158301204443,-0.08497156202793121,0.08350514620542526,1.0
6000,0,-61.13074204947083,1000,0.9430000000000001,0.0032918003853410482,-0.052013423293828964,-0.0853034108877182,0.03329098969697952,1.0
7000,1,-57.37704918032864,1000,0.9335,0.00018757174257189035,-0.14249855279922485,-0.14781342446804047,0.011697238311171532,1.0
8000,2,-56.2289562289571,1000,0.924,8.858210640028119e-05,-0.17581090331077576,-0.1651381552219391,0.01163078099489212,1.0
9000,3,-57.894736842106084,1000,0.9145,0.0005265642539598048,-0.24763540923595428,-0.27721041440963745,0.029575999826192856,1.0
10000,4,-58.86075949367174,1000,0.905,0.08922535926103592,-0.2554052770137787,-0.17690953612327576,0.13044588267803192,1.0
11000,0,-61.13074204947086,1000,0.8955,0.0010243112919852138,-0.3607257008552551,-0.34389668703079224,0.017833586782217026,1.0
12000,1,-50.81967213114825,1000,0.886,0.00030760368099436164,-0.33235812187194824,-0.3514041304588318,0.019047018140554428,1.0
13000,2,-59.595959595960466,1000,0.8765000000000001,0.0002961296995636076,-0.4233495593070984,-0.44698482751846313,0.023636233061552048,1.0
14000,3,-57.89473684210604,1000,0.867,0.0001881520583992824,-0.3775603175163269,-0.39528974890708923,0.0177304670214653,1.0
15000,4,-68.35443037974743,1000,0.8575,5.584273094427772e-05,-0.45070505142211914,-0.45593276619911194,0.007852242328226566,1.0
16000,0,-68.19787985865788,1000,0.848,0.09603139013051987,-0.4470088481903076,-0.3549322783946991,0.1477712243795395,1.0
17000,1,-57.37704918032863,1000,0.8385,0.18041524291038513,-0.5024566650390625,-0.3137933611869812,0.23410025238990784,1.0
18000,2,-59.59595959596042,1000,0.829,0.08865050226449966,-0.5026915669441223,-0.41815221309661865,0.1261235475540161,1.0
19000,3,-57.89473684210608,1000,0.8195,0.0005779907223768532,-0.6402133107185364,-0.6074349880218506,0.03277932107448578,1.0
20000,4,-65.18987341772234,1000,0.81,0.0008054705685935915,-0.6226469278335571,-0.5868765115737915,0.03828494995832443,1.0
