step,episode,episode_reward,episode_length,epsilon,loss,mean_q,mean_target,mean_td_abs,beta
1000,0,-54.06360424028341,1000,0.9905,,,,,
2000,1,-60.65573770491892,1000,0.981,,,,,
3000,2,-56.22895622895708,1000,0.9715,,,,,
4000,3,-54.38596491228148,1000,0.962,,,,,
5000,4,-62.0253164556971,1000,0.9525,0.0016770223155617714,-0.01563817448914051,-0.0644143596291542,0.04877718538045883,1.0
6000,0,-57.59717314487721,1000,0.9430000000000001,0.004975166171789169,-0.03304130211472511,-0.06536374986171722,0.03406624495983124,1.0
7000,1,-57.37704918032864,1000,0.9335,0.08642012625932693,-0.08673883974552155,-0.0012750057503581047,0.11829686164855957,1.0
8000,2,-59.59595959596047,1000,0.924,0.0001320494047831744,-0.08904977142810822,-0.10330912470817566,0.014587171375751495,1.0
9000,3,-57.894736842106084,1000,0.9145,4.908544724457897e-05,-0.17547112703323364,-0.17224182188510895,0.007898268289864063,1.0
10000,4,-62.025316455697066,1000,0.905,0.1806386411190033,-0.1655394583940506,0.03973325341939926,0.22019456326961517,1.0
11000,0,-57.59717314487722,1000,0.8955,0.0004443036741577089,-0.23855963349342346,-0.22920677065849304,0.016374481841921806,1.0
12000,1,-47.540983606558044,1000,0.886,0.09524967521429062,-0.24935682117938995,-0.1337435394525528,0.11881854385137558,1.0
13000,2,-59.59595959596052,1000,0.8765000000000001,5.538573896046728e-05,-0.33425259590148926,-0.3385166823863983,0.008633124642074108,1.0
14000,3,-54.38596491228153,1000,0.867,0.0004081550578121096,-0.31369471549987793,-0.3361348807811737,0.022441130131483078,1.0
15000,4,-62.025316455697066,1000,0.8575,5.6749413488432765e-05,-0.3836456537246704,-0.38055330514907837,0.008832965046167374,1.0
