step,episode,episode_reward,episode_length,epsilon,loss,mean_q,mean_target,mean_td_abs,beta
26000,0,-75.2650176678444,1000,0.636,0.04308900982141495,-0.5166447758674622,-0.1081007719039917,0.4554448425769806,0.47800000000000004
27000,1,-40.98360655737793,1000,0.622,0.035556335002183914,-0.5582093596458435,-0.3754832148551941,0.24989429116249084,0.48100000000000004
28000,2,-49.494949494950276,1000,0.608,0.12191418558359146,-0.5502765774726868,0.025459788739681244,0.6728341579437256,0.48400000000000004
29000,3,-33.3333333333339,1000,0.594,0.1176186054944992,-0.5494805574417114,0.02449128031730652,0.6825946569442749,0.487
30000,4,-43.0379746835451,1000,0.5800000000000001,0.03861304000020027,-0.5605517625808716,-0.3960900604724884,0.26231849193573,0.49
31000,0,-54.06360424028341,1000,0.5660000000000001,0.07150406390428543,-0.5944016575813293,-0.19898533821105957,0.4713534712791443,0.493
32000,1,-37.70491803278775,1000,0.552,0.053983911871910095,-0.5463321805000305,-0.19154390692710876,0.45628130435943604,0.496
33000,2,-5.723905723906411,1000,0.538,0.08411584049463272,-0.6207037568092346,-0.15162555873394012,0.5706719756126404,0.499
34000,3,-33.33333333333352,1000,0.524,0.11261671781539917,-0.59774249792099,0.0017030388116836548,0.6617602109909058,0.502
35000,4,-33.54430379746859,1000,0.51,0.020072566345334053,-0.5910559892654419,-0.46098947525024414,0.3008353114128113,0.505
