step,episode,episode_reward,episode_length,epsilon,loss,mean_q,mean_target,mean_td_abs,beta
1000,0,-50.53003533568978,1000,0.9905,,,,,
2000,1,-60.65573770491887,1000,0.981,,,,,
3000,2,-59.59595959596036,1000,0.9715,,,,,
4000,3,-54.385964912281494,1000,0.962,,,,,
5000,4,-62.02531645569702,1000,0.9525,0.003549471963196993,-0.0022961823269724846,-0.08500070124864578,0.08270551264286041,0.41500000000000004
6000,0,-61.13074204947083,1000,0.9430000000000001,0.06341761350631714,-0.03787466511130333,0.3497757613658905,0.4711924195289612,0.41800000000000004
7000,0,-57.5971731448772,1000,0.9335,0.08092767745256424,-0.1063661053776741,0.259125292301178,0.500047504901886,0.42100000000000004
8000,1,-47.540983606558065,1000,0.924,0.04150798171758652,-0.09534277021884918,0.03263502195477486,0.2873348891735077,0.42400000000000004
9000,2,-52.86195286195368,1000,0.9145,0.051113639026880264,0.03321978077292442,0.21534815430641174,0.2872006297111511,0.42700000000000005
10000,3,-57.89473684210603,1000,0.905,0.11040881276130676,-0.12764261662960052,0.2176448106765747,0.4915970265865326,0.43000000000000005
11000,4,-52.53164556962102,1000,0.8955,0.061784565448760986,-0.15249629318714142,0.09775233268737793,0.37169018387794495,0.43300000000000005
12000,0,-57.59717314487722,1000,0.886,0.11942828446626663,-0.18676313757896423,0.3178797960281372,0.5816775560379028,0.436
13000,1,-57.3770491803287,1000,0.8765000000000001,0.12615305185317993,-0.19663186371326447,0.47696828842163086,0.7923704385757446,0.439
14000,2,-62.96296296296389,1000,0.867,0.03892243653535843,-0.23026302456855774,-0.06400731950998306,0.2672530710697174,0.442
15000,3,-57.89473684210614,1000,0.8575,0.06926514953374863,-0.291125625371933,0.08936800807714462,0.43893367052078247,0.445
16000,4,-62.02531645569716,1000,0.848,0.09210864454507828,-0.2691147029399872,0.3314043879508972,0.6848163604736328,0.448
17000,5,-66.10169491525502,1000,0.8385,0.03719928860664368,-0.2921103537082672,-0.1448964923620224,0.2709285616874695,0.451
18000,6,-65.18987341772235,1000,0.829,0.04116992652416229,-0.33185267448425293,-0.1792086809873581,0.2720451354980469,0.454
19000,7,-59.01639344262394,1000,0.8195,0.04033095762133598,-0.38292866945266724,-0.22022663056850433,0.2414231300354004,0.457
20000,8,-66.9669669669675,1000,0.81,0.052324987947940826,-0.39569827914237976,-0.12563152611255646,0.30556169152259827,0.46
21000,0,-29.328621908127698,1000,0.8005,0.09867406636476517,-0.37440112233161926,0.19340959191322327,0.7147669196128845,0.463
22000,1,-31.14754098360701,1000,0.791,0.09629013389348984,-0.438681423664093,0.05425553023815155,0.5537741184234619,0.466
23000,2,-42.760942760943514,1000,0.7815,0.026435013860464096,-0.4356769025325775,-0.42481496930122375,0.18696565926074982,0.46900000000000003
24000,3,-50.87719298245676,1000,0.772,0.08705533295869827,-0.4664541780948639,0.0002979561686515808,0.583946168422699,0.47200000000000003
25000,4,-55.6962025316464,1000,0.7625,0.039024800062179565,-0.4994310736656189,-0.20997372269630432,0.3470125198364258,0.47500000000000003
26000,0,-57.5971731448772,1000,0.753,0.009527377784252167,-0.2679882347583771,-0.17014256119728088,0.1911221146583557,0.47800000000000004
27000,1,-67.21311475409888,1000,0.7435,0.01716797612607479,-0.5108366012573242,-0.4431236982345581,0.17733755707740784,0.48100000000000004
28000,2,-52.861952861953775,1000,0.734,0.0592934787273407,-0.522403359413147,0.07854320108890533,0.68122398853302,0.48400000000000004
29000,3,-47.36842105263219,1000,0.7245,0.08145049214363098,-0.5827745199203491,-0.07142733782529831,0.5554497241973877,0.487
30000,4,-52.53164556962096,1000,0.7150000000000001,0.08715428411960602,-0.5464506149291992,0.11996755748987198,0.783164918422699,0.49
31000,0,-57.5971731448771,1000,0.7055,0.021887194365262985,-0.21333244442939758,-0.09853016585111618,0.2788928151130676,0.493
32000,0,-11.660777385158815,1000,0.696,0.05287891998887062,-0.5412774085998535,-0.31563594937324524,0.41504430770874023,0.496
33000,1,-40.98360655737772,1000,0.6865,0.08753344416618347,-0.5522818565368652,0.007621988654136658,0.6744294166564941,0.499
34000,2,-62.96296296296373,1000,0.677,0.1890603005886078,-0.6126176118850708,0.2169824242591858,0.8875421285629272,0.502
35000,3,-61.40350877193075,1000,0.6675,0.04199058562517166,-0.5888469815254211,-0.4524978995323181,0.27884984016418457,0.505
